CODIGO;Municipio;"RATE UNEMPLOYMENT";"RATE ILLITERACY";"CARS 100 HABS.";Z1;Z2;Z3;"DEP. INDEX"
3050;"Campello, el";14,5858783288541;24,77;45,4638029994445;-0,12244325162434;0,253652597402597;2,28369398077217;0,804967775516808
3051;"Camp de Mirra, el / Campo de Mirra";18,4397163120567;30,67;27,445652173913;-0,673779157661908;0,0142045454545454;-0,18116933325403;-0,280247981820464
3052;Cañada;11,7788461538462;39,09;28,2385834109972;0,279135028062067;-0,327516233766234;-0,07269720779792;-0,0403594711673624
3053;Castalla;13,9660772284374;20,19;29,3401576981602;-0,0337735663000552;0,439529220779221;0,0779969491327211;0,161250867870629
3054;"Castell de Castells";1,53061224489796;39,84;19,1729323308271;1,74526291203177;-0,357954545454546;-1,31286835419602;0,0248133374603987
3055;Catral;17,4278215223097;44,75;27,0433229120143;-0,529015954550745;-0,557224025974026;-0,236207535976157;-0,440815838833643
3056;Cocentaina;19,3004850651008;28,93;29,8767772511848;-0,796922040786958;0,0848214285714286;0,151405916714752;-0,186898231833593
3057;Confrides;6;0;32,6599326599327;1,10586552217454;1,25892857142857;0,532138530770542;0,96564420812455
3058;Cox;7,99798792756539;75,05;23,4205607476636;0,820030339404093;-1,78693181818182;-0,731797435340144;-0,566232971372623
3059;Crevillent;19,750495511251;37,73;31,8145765400546;-0,861301217632478;-0,272321428571428;0,416494738721565;-0,239042635827447
3060;Quatretondeta;20,4081632653061;0;18,5;-0,955388163849231;1,25892857142857;-1,40492476060192;-0,367128117674191
3061;"Daya Nueva";11,134903640257;39,7;32,6105087572977;0,371258420564098;-0,352272727272727;0,525377394979172;0,181454362756847
3062;"Daya Vieja";15,3846153846154;61,86;43,5643564356436;-0,236711786068009;-1,25162337662338;2,02385176958188;0,178505535630166
3063;Dénia;10,4461790498217;22,73;43,7126473913746;0,469788404889597;0,336444805194805;2,04413781003756;0,950123673373988
3064;Dolores;15,2380952380952;49,51;29,5341241189617;-0,215750391716057;-0,750405844155844;0,10453134322321;-0,287208297549564
3065;"Elx / Elche";23,1612082244994;33,82;35,0974678563452;-1,34924295057215;-0,113636363636364;0,865590678022606;-0,199096212061971
3066;Elda;35,5543395908746;32,04;35,4553817847286;-3,12222311743557;-0,0413961038961039;0,914552911727581;-0,749688769868032
3067;Facheca;23,0769230769231;0;27,007299270073;-1,3371849895455;1,25892857142857;-0,241135530769769;-0,106463982962234
3068;Famorca;6,25;0;25,7142857142857;1,07010014306152;1,25892857142857;-0,418018370138753;0,637003448117111
3069;Finestrat;6,61157024793388;8,42;39,5437262357414;1,01837335508814;0,917207792207792;1,47383395837776;1,13647170189123
3070;"Formentera del Segura";10,7638888888889;56,71;24,3589743589744;0,424336353520903;-1,04261363636364;-0,603423480304465;-0,407233587715733
3071;"Gata de Gorgos";6,78053830227743;41,69;33,2325065537407;0,994200529001798;-0,433035714285714;0,610466012823622;0,390543609179902
3072;Gaianes;15,4471544715447;16,18;24,773413897281;-0,245658722681647;0,602272727272727;-0,546728605023123;-0,0633715334773478
3073;Gorga;14,018691588785;0;30,9278350515464;-0,0413006564785473;1,25892857142857;0,295189473535758;0,504272462828594
3074;"Granja de Rocamora";10,230179028133;54,18;18,2049974502805;0,500689695546067;-0,939935064935065;-1,44528078655534;-0,628175385314779
3075;Guadalest;0;13,25;36,969696969697;1,96423462088698;0,721185064935065;1,12170957177797;1,26904308586667
3076;"Guardamar del Segura";12,3354644603234;31,81;34,5992172778664;0,199504369052442;-0,0320616883116883;0,797430544167765;0,32162440830284
3077;"Hondón de las Nieves";13,8195777351248;29,98;33,4502103786816;-0,0128151266272903;0,0422077922077922;0,640247657822384;0,223213441134295
3078;"Hondón de los Frailes";6,09137055837564;51,33;29,7445255474453;1,09279391153424;-0,82426948051948;0,133314028378284;0,133946153131016
3079;Ibi;14,1129969774471;24,36;33,8989605994682;-0,054792128390144;0,270292207792208;0,701636196917676;0,30571209210658
3080;Jacarilla;13,8461538461538;50,93;32,4693042291951;-0,0166171453725102;-0,808035714285714;0,506060770067728;-0,106197363196832
3081;"Xaló / Jalón";12,03125;1,13;35,8201328564129;0,243025751072961;1,21306818181818;0,964450459153608;0,806848130681584
3082;"Xàbia / Jávea";5,99961292819818;7,18;51,6056577429734;1,10592089725348;0,967532467532467;3,12389298809485;1,7324487842936
